scientific_name,park_name,observations,category,common_names,conservation_status
Dendroica coronata,Bryce National Park,107,Bird,Yellow-Rumped Warbler,
Bryum dichotomum,Yellowstone National Park,229,Nonvascular Plant,Bryum Moss,
Amblystegium serpens,Bryce National Park,112,Nonvascular Plant,Amblystegium Moss,
Polytrichum juniperinum,Yosemite National Park,138,Nonvascular Plant,Juniper Polytrichum Moss,
Hypericum graveolens,Bryce National Park,71,Vascular Plant,Mountain St. John's-Wort,
Elymus virginicus var. virginicus,Great Smoky Mountains National Park,80,Vascular Plant,Virginia Wildrye,
Calypogeja neesiana,Yosemite National Park,159,Nonvascular Plant,Nees' Calypogeja,
Veronica hederifolia,Great Smoky Mountains National Park,78,Vascular Plant,Ivy-Leaved Speedwell,
Thlaspi arvense,Yosemite National Park,134,Vascular Plant,Field Pennycress,
Thlaspi arvense,Yosemite National Park,134,Vascular Plant,"Fanweed, Field Pennycress, Frenchweed, Pennycress, Stinkweed",
Symphyotrichum patens var. patens,Yosemite National Park,161,Vascular Plant,Late Purple Aster,
Eleocharis tuberculosa,Yellowstone National Park,252,Vascular Plant,Cone-Cup Spikerush,
Chorizanthe membranacea,Yosemite National Park,182,Vascular Plant,Pink Spineflower,
Potamogeton pulcher,Great Smoky Mountains National Park,87,Vascular Plant,Spotted Pondweed,
Ochrotomys nuttalli,Yosemite National Park,161,Mammal,Golden Mouse,
Yabea microcarpa,Bryce National Park,45,Vascular Plant,"False Carrot, False Hedge-Parsley, Falsecarrot",
Cornus alternifolia,Bryce National Park,122,Vascular Plant,"Alternate-Leaf Dogwood, Alternate-Leaved Dogwood",
Erythronium americanum,Yosemite National Park,128,Vascular Plant,"American Troutlily, Yellow Trout-Lily",
Gilia leptalea ssp. bicolor,Yellowstone National Park,236,Vascular Plant,Bridges' Gilia,
Poa keckii,Bryce National Park,101,Vascular Plant,Keck's Bluegrass,
Micropterus dolomieu,Yosemite National Park,117,Fish,Smallmouth Bass,
Viola bicolor,Yellowstone National Park,204,Vascular Plant,"Field Pansy, Wild Pansy",
Lupinus fulcratus,Great Smoky Mountains National Park,71,Vascular Plant,Greenstipule Lupine,
Trillium vaseyi,Bryce National Park,68,Vascular Plant,Vasey's Trillium,
Juncus gymnocarpus,Great Smoky Mountains National Park,60,Vascular Plant,"Few-Seeded Rush, Naked-Fruited Rush",
Diodia virginiana,Yellowstone National Park,243,Vascular Plant,"Larger Button-Weed, Virginia Buttonweed",
Carex oxylepis var. oxylepis,Great Smoky Mountains National Park,66,Vascular Plant,Sharpscale Sedge,
Phainopepla nitens,Yellowstone National Park,230,Bird,Phainopepla,Species of Concern
Troglodytes aedon,Yosemite National Park,134,Bird,House Wren,
Luxilus chrysocephalus,Yellowstone National Park,237,Fish,Striped Shiner,
Eriogonum umbellatum var. nevadense,Yellowstone National Park,246,Vascular Plant,"Nevada Buckwheat, Sulphur-Flower Buckwheat",
Botrychium lanceolatum var. angustisegmentum,Yosemite National Park,148,Vascular Plant,Lanceleaf Grapefern,
Passiflora lutea,Great Smoky Mountains National Park,71,Vascular Plant,"Yellow Passionflower, Yellow Passion-Flower",
Microtus pinetorum,Great Smoky Mountains National Park,94,Mammal,Woodland Vole,
Carex lasiocarpa,Yosemite National Park,136,Vascular Plant,"Woollyfruit Sedge, Woolly-Fruit Sedge",
Taraxacum officinale,Yellowstone National Park,260,Vascular Plant,"Brown-Seed Dandelion, Common Dandelion",
Taraxacum officinale,Yellowstone National Park,260,Vascular Plant,"Blowball, Common Dandelion, Dandelion, Faceclock",
Gentiana decora,Great Smoky Mountains National Park,112,Vascular Plant,"Mountain Gentian, Showy Gentian",
Eleocharis acicularis,Yellowstone National Park,276,Vascular Plant,Needle Sedge,
Eleocharis acicularis,Yellowstone National Park,276,Vascular Plant,"Needle Spikerush, Needle Spikesedge",
Setophaga coronata coronata,Yellowstone National Park,240,Bird,Myrtle Warbler (Yellow-Rumped),
Aythya marila,Yosemite National Park,149,Bird,Greater Scaup,
Botrychium jenmanii,Great Smoky Mountains National Park,66,Vascular Plant,Dixie Grapefern,
Buteo platypterus,Yosemite National Park,134,Bird,Broad-Winged Hawk,
Juncus vaseyi,Bryce National Park,72,Vascular Plant,"Vasey Rush, Vasey's Rush",
Arctium lappa,Bryce National Park,85,Vascular Plant,"Great Burdock, Greater Burdock, Greater Burrdock, Woodland Burdock",
Triteleia ixioides ssp. anilina,Great Smoky Mountains National Park,68,Vascular Plant,Prettyface,
Osmunda cinnamomea,Bryce National Park,121,Vascular Plant,Cinnamon Fern,
Acer leucoderme,Bryce National Park,125,Vascular Plant,Chalk Maple,
Chelone glabra,Bryce National Park,132,Vascular Plant,Turtlehead,
Sasa palmata,Bryce National Park,95,Vascular Plant,Broadleaf Bamboo,
Potentilla recta,Bryce National Park,90,Vascular Plant,"Rough-Fruited Cinquefoil, Sulphur Cinquefoil",
Potentilla recta,Bryce National Park,90,Vascular Plant,"Erect Cinquefoil, Roughfruit Cinquefoil, Sulphur Cinquefoil",
Hippuris vulgaris,Bryce National Park,94,Vascular Plant,"Common Mare's Tail, Common Mare's-Tail",
Brickellia californica,Great Smoky Mountains National Park,80,Vascular Plant,"California Brickellbush, Jepson's Brickellbush",
Cervus elaphus,Yellowstone National Park,225,Mammal,Wapiti Or Elk,
Cervus elaphus,Yellowstone National Park,225,Mammal,Rocky Mountain Elk,
Erigeron eatonii var. eatonii,Great Smoky Mountains National Park,64,Vascular Plant,"Eaton's Daisy, Eaton's Fleabane",
Solanum carolinense,Yosemite National Park,129,Vascular Plant,"Carolina Horse-Nettle, Horse-Nettle",
Phyllodoce breweri,Bryce National Park,67,Vascular Plant,"Brewer's Mountain Heather, Purple Mountainheath, Red Mountainheather",
Rosa setigera,Yellowstone National Park,258,Vascular Plant,Prairie Rose,
Mentha arvensis,Bryce National Park,135,Vascular Plant,Corn Mint,
Mentha arvensis,Bryce National Park,135,Vascular Plant,"Field Mint, Wild Mint",
Philadelphus inodorus var. grandiflorus,Yosemite National Park,145,Vascular Plant,Large-Flowered Hairy Mock-Orange,
Muscari botryoides,Great Smoky Mountains National Park,85,Vascular Plant,"Common Grape-Hyacinth, Grape Hyacinth",
Sorex longirostris,Bryce National Park,77,Mammal,Southeastern Shrew,
Eriodictyon californicum,Bryce National Park,95,Vascular Plant,California Yerba Santa,
Brachythecium oedipodium,Great Smoky Mountains National Park,40,Nonvascular Plant,Brachythecium Moss,
Pentaphylloides floribunda,Yellowstone National Park,280,Vascular Plant,Shrubby Cinquefoil,
Helenium bigelovii,Yellowstone National Park,245,Vascular Plant,Bigelow's Sneezeweed,
Oxalis grandis,Yosemite National Park,146,Vascular Plant,"Great Yellow Wood-Sorrel, Large Wood-Sorrel",
Anacamptodon splachnoides,Bryce National Park,126,Nonvascular Plant,Anacamptodon Moss,
Astragalus lotiflorus,Yellowstone National Park,269,Vascular Plant,"Lotus Milkvetch, Lotus Milk-Vetch, Low Milkvetch, Milkvetch",
Notropis photogenis,Yosemite National Park,126,Fish,Silver Shiner,
Calochortus luteus,Bryce National Park,115,Vascular Plant,Yellow Mariposa Lily,
Calamospiza melanocorys,Bryce National Park,113,Bird,Lark Bunting,
Polygonatum biflorum,Yellowstone National Park,281,Vascular Plant,"Common Solomon's-Seal, King Solomon's Seal",
Veratrum californicum var. californicum,Great Smoky Mountains National Park,87,Vascular Plant,"California False Hellebore, California Falsehellebore",
Nymphaea odorata,Yellowstone National Park,229,Vascular Plant,"American Water-Lily, White Water-Lily",
Myotis evotis,Yellowstone National Park,245,Mammal,"Long-Eared Myotis, Long-Eared Myotis",Species of Concern
Platanthera stricta,Great Smoky Mountains National Park,83,Vascular Plant,"Modoc Bog Orchid, Slender Bog Orchid",
Cyperus strigosus,Yellowstone National Park,233,Vascular Plant,"Straw-Colored Flatsedge, Umbrella-Sedge",
Potentilla wheeleri,Yosemite National Park,117,Vascular Plant,Kern Cinquefoil,
Cyperus esculentus,Great Smoky Mountains National Park,79,Vascular Plant,Chufa Flatsedge,
Cyperus esculentus,Great Smoky Mountains National Park,79,Vascular Plant,"Chufa Flatsedge, Yellow Nutgrass, Yellow Nutsedge",
Plethodon ventralis,Great Smoky Mountains National Park,105,Amphibian,Southern Zigzag Salamander,
Mimulus guttatus,Yosemite National Park,148,Vascular Plant,"Common Monkeyflower, Seep Monkeyflower",
Gilia capitata ssp. pedemontana,Bryce National Park,101,Vascular Plant,Bluehead Gilia,
Pyrola asarifolia ssp. asarifolia,Great Smoky Mountains National Park,36,Vascular Plant,"Bog Wintergreen, Liverleaf Wintergreen",
Digitaria filiformis,Bryce National Park,83,Vascular Plant,"Crabgrass, Slender Crabgrass",
Parnassia palustris var. montanensis,Bryce National Park,81,Vascular Plant,"Mountain Grass Of Parnassus, Northern Grass-Of-Parnassus",
Lupinus grayi,Yellowstone National Park,255,Vascular Plant,"Gray's Lupine, Sierra Lupine",
Cosmos bipinnatus,Yosemite National Park,147,Vascular Plant,Garden Cosmos,
Euphorbia lathyris,Yellowstone National Park,261,Vascular Plant,Moleplant,
Sphenopholis nitida,Bryce National Park,94,Vascular Plant,"Shining Sphenopholis, Shiny Wedge Grass",
Podiceps grisegena,Bryce National Park,74,Bird,Red-Necked Grebe,
Bromus arenarius,Yosemite National Park,149,Vascular Plant,Australian Brome,
Castor canadensis,Yellowstone National Park,264,Mammal,"American Beaver, Beaver",
Castor canadensis,Yellowstone National Park,264,Mammal,American Beaver,
Castor canadensis,Yellowstone National Park,264,Mammal,Beaver,
Minuartia stricta,Bryce National Park,66,Vascular Plant,Bog Stitchwort,
Certhia americana,Yellowstone National Park,189,Bird,Brown Creeper,Species of Concern
Hygrohypnum closteri,Yosemite National Park,132,Nonvascular Plant,Closter's Brook-Hypnum,
Tsuga mertensiana,Great Smoky Mountains National Park,75,Vascular Plant,"Alpine Hemlock, Black Hemlock, Hemlock Spruce, Mountain Hemlock",
Rumex pulcher,Yosemite National Park,161,Vascular Plant,Fiddle Dock,
Cuscuta californica var. californica,Great Smoky Mountains National Park,65,Vascular Plant,"California Dodder, Chaparral Dodder",
Digitaria filiformis,Yellowstone National Park,274,Vascular Plant,"Crabgrass, Slender Crabgrass",
Prunus angustifolia,Yellowstone National Park,241,Vascular Plant,Chickasaw Plum,
Epilobium densiflorum,Great Smoky Mountains National Park,87,Vascular Plant,"Dense-Flower Spike-Primrose, Denseflower Willowherb, Denseflower Willowweed",
Physalis pruinosa,Yellowstone National Park,242,Vascular Plant,Strawberry-Tomato,
Castilleja tenuis,Great Smoky Mountains National Park,48,Vascular Plant,"Hairy Indian Paintbrush, Slender Paintbrush",
Lycopus americanus,Yosemite National Park,158,Vascular Plant,American Bugleweed,
Lycopus americanus,Yosemite National Park,158,Vascular Plant,"American Bugleweed, American Water Horehound, American Waterhorehound, Cut-Leaf Water-Horehound, Water Horehound, Waterhorehound",
Alces alces shirasi,Bryce National Park,81,Mammal,Yellowstone Moose,
Sphagnum magellanicum,Bryce National Park,102,Nonvascular Plant,Magellan's Sphagnum,
Prunus virginiana,Great Smoky Mountains National Park,107,Vascular Plant,"Choke Cherry, Chokecherry",
Castilleja applegatei,Yosemite National Park,206,Vascular Plant,"Pine Indian Paintbrush, Wavyleaf Indian Paintbrush, Wavyleaf Paintbrush",
Cacalia muhlenbergii,Yosemite National Park,160,Vascular Plant,Great Indian-Plantain,
Calidris minutilla,Yosemite National Park,182,Bird,Least Sandpiper,
Dendroica caerulescens,Yellowstone National Park,261,Bird,Black-Throated Blue Warbler,
Ceanothus cordulatus,Great Smoky Mountains National Park,76,Vascular Plant,Whitethorn Ceanothus,
Coragyps atratus,Yellowstone National Park,286,Bird,Black Vulture,
Andreaea rupestris,Bryce National Park,96,Nonvascular Plant,Andreaea Moss,
Tsuga canadensis,Great Smoky Mountains National Park,69,Vascular Plant,Eastern Hemlock,
Thelypodium paniculatum,Great Smoky Mountains National Park,73,Vascular Plant,Northwestern Thelypody,
Mentha spicata,Yellowstone National Park,281,Vascular Plant,Spearmint,
Neckera complanata,Yosemite National Park,174,Nonvascular Plant,Neckera Moss,
Clematis terniflora,Yosemite National Park,154,Vascular Plant,Clematis,
Castilleja minor ssp. spiralis,Bryce National Park,103,Vascular Plant,"Annual Indian Paintbrush, Lesser Indian Paintbrush",
Rubus suus,Yellowstone National Park,259,Vascular Plant,Jennison's Blackberry,
Anthemis arvensis,Bryce National Park,98,Vascular Plant,"Corn Camomile, Corn-Chamomile",
Carex flaccosperma,Yosemite National Park,165,Vascular Plant,Thinfruit Sedge,
Cyperus squarrosus,Yellowstone National Park,287,Vascular Plant,"Awned Flat Sedge, Bearded Flatsedge, Bearded Nutgrass",
Lupinus rivularis,Yellowstone National Park,304,Vascular Plant,Riverbank Lupine,
Zonotrichia leucophrys oriantha,Bryce National Park,73,Bird,Mountain White-Crowned Sparrow,
Tyto alba,Yosemite National Park,143,Bird,"Barn Owl, Common Barn-Owl",
Tyto alba,Yosemite National Park,143,Bird,Barn Owl,
Tyrannus forficata,Bryce National Park,137,Bird,Scissor-Tailed Flycatcher,
Crataegus pruinosa,Bryce National Park,91,Vascular Plant,Triangle-Leaved Hawthorn,
Contopus sordidulus,Bryce National Park,71,Bird,"Western Wood Pewee, Western Wood-Pewee",
Contopus sordidulus,Bryce National Park,71,Bird,Western Wood-Pewee,
Botrychium minganense,Yosemite National Park,126,Vascular Plant,"Mingan Island Grapefern, Mingan Moonwort",
Lobelia spicata var. leptostachys,Yellowstone National Park,253,Vascular Plant,Lobelia,
Eriogonum umbellatum var. majus,Great Smoky Mountains National Park,75,Vascular Plant,Sulphur-Flower Buckwheat,
Pheucticus melanocephalus,Yosemite National Park,164,Bird,Black-Headed Grosbeak,
Carex lenticularis var. lipocarpa,Yellowstone National Park,236,Vascular Plant,"Kellogg Sedge, Kellogg's Sedge",
Juncus dubius,Yellowstone National Park,205,Vascular Plant,"Dubius Rush, Mariposa Rush, Questionable Rush",
Lobelia inflata,Yellowstone National Park,245,Vascular Plant,"Indian Tabacco, Indian-Tobacco",
Aix sponsa,Yellowstone National Park,278,Bird,Wood Duck,
Arabis patens,Yellowstone National Park,256,Vascular Plant,Spreading Rockcress,
Trichostema oblongum,Great Smoky Mountains National Park,69,Vascular Plant,Oblong Bluecurls,
Carex laxiflora,Bryce National Park,79,Vascular Plant,"Broad Looseflower Sedge, Loose-Flowered Sedge",
Bidens bipinnata,Yellowstone National Park,273,Vascular Plant,Spanish-Needles,
Lobelia amoena,Great Smoky Mountains National Park,68,Vascular Plant,Southern Lobelia,
Juniperus scopulorum,Yosemite National Park,162,Vascular Plant,Rocky Mountain Juniper,
Arceuthobium cyanocarpum,Bryce National Park,126,Vascular Plant,Limber Pine Dwarf Mistletoe,
Mimulus breweri,Bryce National Park,135,Vascular Plant,Brewer's Monkeyflower,
Aureolaria flava,Bryce National Park,82,Vascular Plant,"Yellow False-Foxglove, Yellow Gerardia",
Oxypolis rigidior,Yellowstone National Park,271,Vascular Plant,Stiff Cowbane,
Draba ventosa,Yellowstone National Park,240,Vascular Plant,"Wind Draba, Wind River Draba",
Chaetodipus californicus,Great Smoky Mountains National Park,92,Mammal,California Pocket Mouse,
Carex stricta,Bryce National Park,110,Vascular Plant,Uptight Sedge,
Bromus inermis,Yosemite National Park,148,Vascular Plant,"Awnless Brome, Brome Grass",
Minuartia douglasii,Yellowstone National Park,247,Vascular Plant,Douglas' Stitchwort,
Dicentra chrysantha,Yellowstone National Park,253,Vascular Plant,Golden Eardrops,
Phacelia tanacetifolia,Great Smoky Mountains National Park,73,Vascular Plant,"Facelia, Fiddleneck, Lacy Phacelia, Lacy Scorpion-Weed",
Lechea racemulosa,Yosemite National Park,119,Vascular Plant,"Illinois Pinweed, Pinweed",
Stizostedion canadense,Yellowstone National Park,286,Fish,Sauger,
Cheilanthes gracillima,Yosemite National Park,167,Vascular Plant,Lace Lipfern,
Stellaria crispa,Yellowstone National Park,281,Vascular Plant,"Crisp Starwort, Crispleaved Chickweed, Curled Starwort",
Ribes rotundifolium,Bryce National Park,90,Vascular Plant,"Appalachian Gooseberry, Round-Leaved Currant",
Phlox multiflora,Yellowstone National Park,296,Vascular Plant,"Flowery Phlox, Rocky Mountain Phlox",
Thelia hirtella,Great Smoky Mountains National Park,47,Nonvascular Plant,Thelia Moss,
Lepidium densiflorum var. pubecarpum,Yellowstone National Park,247,Vascular Plant,Babyseed Pepperweed,
Poa compressa,Great Smoky Mountains National Park,80,Vascular Plant,"Canada Bluegrass, Canada Bluegrass, Wiregrass",
Poa compressa,Great Smoky Mountains National Park,80,Vascular Plant,"Canada Bluegrass, Flat-Stem Blue Grass",
Potentilla wheeleri,Great Smoky Mountains National Park,85,Vascular Plant,Kern Cinquefoil,
Liatris squarrulosa,Yellowstone National Park,209,Vascular Plant,"Appalachian Gayfeather, Earle's Blazing Star",
Cirsium andersonii,Yellowstone National Park,246,Vascular Plant,"Anderson's Thistle, Rose Thistle",
Aster occidentalis var. occidentalis,Bryce National Park,83,Vascular Plant,Western Aster,
Pinus contorta ssp. murrayana,Great Smoky Mountains National Park,47,Vascular Plant,"Sierra Lodgepole Pine, Tamarack Pine",
Senecio crassulus,Bryce National Park,86,Vascular Plant,"Meadow Groundsel, Thickleaf Groundsel, Thickleaf Ragwort",
Nothocalais nigrescens,Bryce National Park,94,Vascular Plant,Meadow Prairie-Dandelion,
Polygonum arenastrum,Bryce National Park,81,Vascular Plant,"Common Knotweed, Doorweed, Matweed, Ovalleaf Knotweed, Oval-Leaf Knotweed, Prostrate Knotweed",
Otus flammeolus,Great Smoky Mountains National Park,79,Bird,Flammulated Owl,
Viola macloskeyi,Yellowstone National Park,248,Vascular Plant,"Macloskey's Violet, Small White Violet",
Crepis intermedia,Great Smoky Mountains National Park,59,Vascular Plant,"Gray Hawksbeard, Limestone Hawksbeard",
Dicranella varia,Yosemite National Park,141,Nonvascular Plant,Dicranella Moss,
Calidris melanotos,Bryce National Park,102,Bird,Pectoral Sandpiper,
Clarkia williamsonii,Yellowstone National Park,230,Vascular Plant,Fort Miller Clarkia,
Quercus muehlenbergii,Great Smoky Mountains National Park,87,Vascular Plant,"Chinkapin Oak, Yellow Oak",
Selaginella densa var. densa,Great Smoky Mountains National Park,38,Vascular Plant,"Dense Spikemoss, Lesser Spikemoss",
Bromus grandis,Great Smoky Mountains National Park,111,Vascular Plant,Tall Brome,
Lathyrus jepsonii var. californicus,Great Smoky Mountains National Park,63,Vascular Plant,California Pea,
Thuidium recognitum,Bryce National Park,99,Nonvascular Plant,Thuidium Moss,
Anastrophyllum helleranum,Yosemite National Park,160,Nonvascular Plant,Heller's Anastrophyllum,
Aulacomnium palustre,Bryce National Park,87,Nonvascular Plant,Aulacomnium Moss,
Andropogon virginicus var. virginicus,Great Smoky Mountains National Park,35,Vascular Plant,"Broomsedge, Broomsedge Bluestem",
Salvia lyrata,Yosemite National Park,147,Vascular Plant,"Lyre-Leaf Sage, Lyre-Leaved Sage",
Sisymbrium officinale,Yellowstone National Park,285,Vascular Plant,"Hairy-Pod Hedgemustard, Hedge-Mustard",
Sisymbrium officinale,Yellowstone National Park,285,Vascular Plant,"Hairypod Hedgemustard, Hedge Mustard, Hedge Tumblemustard, Hedgemustard, Hedge-Mustard, Hedgeweed, Wild Mustard",
Scirpus pendulus,Bryce National Park,101,Vascular Plant,Rufous Bulrush,
Lindera benzoin,Bryce National Park,104,Vascular Plant,Spicebush,
Empidonax wrightii,Great Smoky Mountains National Park,42,Bird,"Gray Flycatcher, Grey Flycatcher",
Empidonax wrightii,Great Smoky Mountains National Park,42,Bird,Gray Flycatcher,
Claytonia megarhiza var. megarhiza,Great Smoky Mountains National Park,102,Vascular Plant,Alpine Springbeauty,
Ivesia lycopodioides ssp. lycopodioides,Yosemite National Park,157,Vascular Plant,"Clubmoss Ivesia, Clubmoss Mousetail",
Campylopus atrovirens,Yellowstone National Park,271,Nonvascular Plant,Campylopus Moss,
Juncus bufonius,Yellowstone National Park,251,Vascular Plant,Toad Rush,
Arctostaphylos uva-ursi,Yellowstone National Park,237,Vascular Plant,"Bearberry, Bearberry Manzanita, Kinnikinnick, Mealberry",
Fontinalis flaccida,Yosemite National Park,150,Nonvascular Plant,Flaccid Fontinalis Moss,
Trifolium variegatum,Yosemite National Park,159,Vascular Plant,"Whitetip Clover, White-Tip Clover",
Chaenactis glabriuscula var. megacephala,Great Smoky Mountains National Park,59,Vascular Plant,Yellow Pincushion,
Rana catesbeiana,Yellowstone National Park,257,Amphibian,American Bullfrog,
Rana catesbeiana,Yellowstone National Park,257,Amphibian,"American Bullfrog, Bullfrog",
Sphaeromeria cana,Yosemite National Park,169,Vascular Plant,"Gray Chickensage, Gray Tansey",
Oenothera speciosa,Yosemite National Park,184,Vascular Plant,"Showy Evening Primrose, White Evening-Primrose",
Ixoreus naevius,Great Smoky Mountains National Park,102,Bird,Varied Thrush,
Bromus hordeaceus ssp. hordeaceus,Yellowstone National Park,226,Vascular Plant,Soft Brome,
Valerianella radiata,Bryce National Park,176,Vascular Plant,"Beaked Corn-Salad, Corn Salad",
Camissonia sierrae ssp. alticola,Yellowstone National Park,201,Vascular Plant,"Mono Hot Springs Evening Primrose, Mono Hot Springs Evening-Primrose",Species of Concern
Rhinichthys cataractae,Yosemite National Park,165,Fish,Longnose Dace,
Minuartia nuttallii ssp. gracilis,Great Smoky Mountains National Park,69,Vascular Plant,Brittle Sandwort,
Cnicus benedictus,Great Smoky Mountains National Park,73,Vascular Plant,"Blessed Thistle, Blessed-Thistle",
Plagiobothrys scouleri var. hispidulus,Yosemite National Park,138,Vascular Plant,"Meadow Popcornflower, Sleeping Popcornflower",
Vaccinium arboreum,Bryce National Park,118,Vascular Plant,"Farkleberry, Sparkleberry",
Oreoscoptes montanus,Yosemite National Park,127,Bird,Sage Thrasher,Species of Concern
Veronica americana,Yellowstone National Park,237,Vascular Plant,"American Speedwell, Brooklime",
Phacelia cicutaria var. cicutaria,Yosemite National Park,165,Vascular Plant,Caterpillar Phacelia,
Sturnella neglecta,Yellowstone National Park,235,Bird,Western Meadowlark,
Gilia leptalea ssp. bicolor,Yosemite National Park,160,Vascular Plant,Bridges' Gilia,
Verbena lasiostachys var. lasiostachys,Bryce National Park,104,Vascular Plant,Western Vervain,
Philonotis marchica,Bryce National Park,81,Nonvascular Plant,Philonotis Moss,
Carex straminiformis,Yosemite National Park,115,Vascular Plant,Shasta Sedge,
Eurybia macrophylla,Great Smoky Mountains National Park,76,Vascular Plant,Bigleaf Aster,
Saxifraga californica,Yosemite National Park,117,Vascular Plant,California Saxifrage,
Juncus tiehmii,Yosemite National Park,170,Vascular Plant,"Nevada Rush, Tiehm's Rush",
Hypericum graveolens,Great Smoky Mountains National Park,59,Vascular Plant,Mountain St. John's-Wort,
Aralia californica,Great Smoky Mountains National Park,102,Vascular Plant,California Spikenard,
Lithophragma glabrum,Great Smoky Mountains National Park,108,Vascular Plant,"Bulbous Woodland-Star, Smooth Woodland-Star",
Chrysothamnus viscidiflorus var. viscidiflorus,Yosemite National Park,152,Vascular Plant,Yellow Rabbitbrush,
Scrophularia californica ssp. floribunda,Yosemite National Park,166,Vascular Plant,California Figwort,
Platanthera leucostachys,Yosemite National Park,139,Vascular Plant,"Bog Orchid, Sierra Bog Orchid",
Crataegus flabellata,Yosemite National Park,147,Vascular Plant,Fanleaf Hawthorn,
Arabis laevigata var. laevigata,Bryce National Park,99,Vascular Plant,Smooth Rockcress,
Taraxacum officinale,Great Smoky Mountains National Park,67,Vascular Plant,"Brown-Seed Dandelion, Common Dandelion",
Taraxacum officinale,Great Smoky Mountains National Park,67,Vascular Plant,"Blowball, Common Dandelion, Dandelion, Faceclock",
Ptychocheilus grandis,Yellowstone National Park,222,Fish,Sacramento Pikeminnow,
Deschampsia danthonioides,Yosemite National Park,186,Vascular Plant,Annual Hairgrass,
Ceanothus integerrimus,Bryce National Park,88,Vascular Plant,"Deerbrush, Deerbrush Ceanothus",
Selasphorus sasin,Great Smoky Mountains National Park,42,Bird,Allen's Hummingbird,
Rhexia virginica,Great Smoky Mountains National Park,51,Vascular Plant,"Meadow Beauty, Virginia Meadow-Beauty",
Achnatherum lettermanii,Bryce National Park,63,Vascular Plant,"Letterman Needlegrass, Letterman's Needlegrass",
Bromus inermis ssp. inermis,Yellowstone National Park,257,Vascular Plant,Smooth Brome,
Spiraea prunifolia,Yellowstone National Park,275,Vascular Plant,"Bridal-Wreath, Spiraea",
Cryphaea glomerata,Great Smoky Mountains National Park,73,Nonvascular Plant,Cryphaea Moss,
Carex brunnescens ssp. sphaerostachya,Bryce National Park,90,Vascular Plant,"Brownish Sedge, Few Flowered Sedge",
Carex atlantica ssp. atlantica,Yosemite National Park,172,Vascular Plant,Sedge,
Triticum aestivum,Yosemite National Park,133,Vascular Plant,"Cultivated Wheat, Wheat",
Triticum aestivum,Yosemite National Park,133,Vascular Plant,"Common Wheat, Wheat",
Trifolium variegatum,Yellowstone National Park,240,Vascular Plant,"Whitetip Clover, White-Tip Clover",
Aster ascendens,Bryce National Park,74,Vascular Plant,Chile Aster,
Silene menziesii var. menziesii,Bryce National Park,89,Vascular Plant,Menzies' Campion,
Zanthoxylum americanum,Great Smoky Mountains National Park,71,Vascular Plant,"Northern Prickley Ash, Prickly-Ash",
Arceuthobium californicum,Yosemite National Park,154,Vascular Plant,Sugar Pine Dwarf Mistletoe,
Staphylea bolanderi,Yosemite National Park,158,Vascular Plant,Sierra Bladdernut,
Nepeta cataria,Yellowstone National Park,217,Vascular Plant,Catnip,
Nepeta cataria,Yellowstone National Park,217,Vascular Plant,"Catmint, Catnip, Catwort, Field Balm",
Fissidens bushii,Yosemite National Park,162,Nonvascular Plant,Bush's Fissidens Moss,
Lepidium virginicum,Yosemite National Park,166,Vascular Plant,"Poor Man's Pepper, Poor-Man's Pepper-Grass",
Plantago major,Bryce National Park,96,Vascular Plant,"Nipple-Seed Plantain, Plantain",
Plantago major,Bryce National Park,96,Vascular Plant,"Broadleaf Plantain, Buckhorn Plantain, Common Plantain, Great Plantain, Rippleseed Plantain",
Agrostis variabilis,Bryce National Park,93,Vascular Plant,Mountain Bentgrass,
Agrostis variabilis,Bryce National Park,93,Vascular Plant,"Mountain Bentgrass, Mountain Redtop",
Phlox amplifolia,Yosemite National Park,159,Vascular Plant,"Broad-Leaved Phlox, Large-Leaved Phlox",
Vireo solitarius,Great Smoky Mountains National Park,81,Bird,"Blue-Headed Vireo, Solitary Vireo",
Vireo solitarius,Great Smoky Mountains National Park,81,Bird,Blue-Headed Vireo,
Achnatherum contractum,Bryce National Park,122,Vascular Plant,Contracted Ricegrass,Species of Concern
Ditrichum rhynchostegium,Bryce National Park,94,Nonvascular Plant,Ditrichum Moss,
Hackelia floribunda,Yosemite National Park,157,Vascular Plant,"Manyflower Stickseed, Manyflowered Stickseed, Showy Stickseed",
Plantago aristata,Great Smoky Mountains National Park,83,Vascular Plant,"Bracted Plantain, Large-Bract Plantain",
Entodon cladorrhizans,Yosemite National Park,135,Nonvascular Plant,Entodon Moss,
Cornus foemina,Yellowstone National Park,260,Vascular Plant,"Stiff Dogwood, Swamp Dogwood",
Juncus longistylis,Yellowstone National Park,242,Vascular Plant,"Long-Style Rush, Long-Styled Rush",
Sidalcea glaucescens,Bryce National Park,66,Vascular Plant,"Waxy Checkerbloom, Waxy Checkermallow",
Tadarida brasiliensis,Bryce National Park,75,Mammal,Mexican Free-Tailed Bat,
Campylium radicale,Great Smoky Mountains National Park,60,Nonvascular Plant,Campylium Moss,
Lemna valdiviana,Yosemite National Park,152,Vascular Plant,"Duckweed, Pale Duckweed",
Lemna valdiviana,Yosemite National Park,152,Vascular Plant,"Pale Duckweed, Valdivia Duckweed, Valdivia's Duckweed",
Sciurus niger,Yosemite National Park,130,Mammal,"Eastern Fox Squirrel, Fox Squirrel",
